No,Title,Content,Date,Image/Video Links
1,4 Creative Ideas With Plastic Bottles,"Use plastic bottles to make pipe saddle clamp, glasses holder, wall hook and sponge holder",17-Oct-20,https://youtu.be/YrkhMpiQyxc
2,How to make a bag from newspaper,Fold old newspapers into handy eco-friendly bags,30-Aug-19,https://youtu.be/MfIV6Yk4yIo
3,Make Plastic Jars Into Container,Use plastic jars and DIY into external storage to store small items,20-Sep-11,https://www.flickr.com/photos/aquenosetehabiaocurrido/6165931665/in/photostream/
4,How to Make Your Own Plastic Jump Rope,Make jump rope out of plastic shopping bags,8-Mar-13,https://youtu.be/h0ExVd9WlMY
5,Make Beautiful Flower Using Plastic Bag,Use plastic bags to make beautiful flowers,22-Jan-20,https://youtu.be/xKnzsJGp1M0
6,Doormat Making at Home Using Old Jeans,Use old jeans to make home doormat,26-Nov-19,https://youtu.be/8rV5W5eAdVI
7,Basket with tubes of toilet paper,Use cardboard tubes or toilet paper tubes to make a basket,3-Jun-20,https://youtu.be/ARGl0hMKht0
8,DIY Upcycled Diagonal Bracelet,Use T-shirt yarn to make stylish bracelet,22-Mar-19,https://youtu.be/uVL2e9-kGZ8
9,DIY Upcycled Denim Bucket,Make old pair of jeans into small bucket to store items,22-Sep-14,https://youtu.be/hxKlwnjwFBw
10,Plastic Bottle Multipurpose Rack,Use bottle as base and combined with cloth to make a cute multipurpose rack,13-Nov-20,https://youtu.be/DCnb02k72QE
11,Recycled Milk Carton,Use milk carton to create a container for planting,2-Jun-20,https://youtu.be/ftBqlNWJ5Yo
12,DIY Recycle Bin Separator,By using cardboard to make separator for rubbish bin to separate different kinds of waste,14-Nov-16,https://youtu.be/qx2gy11NU2s
13,Make Cute Trash Bin From Cardboard,Making a cute trash bin from cardboard,13-Feb-19,https://youtu.be/K-zOIPZ3RXk
14,Reuse T-shirt Into Tote Bag,Ways to make tote bag which is very easy by cutting just one tshirt,23-Jun-18,https://youtu.be/HO9UutuHVUU
15,How To Make a Basket Out Of Plastic Bags,Process of creating a basket out of plastic bags,19-Nov-18,https://youtu.be/BEchvxS7KN8
16,DIY - 3 Ideas to Recycle Old Towels,"Use old towels to create kitchen apron, bibs for children and even a small container bag",4-Jun-20,https://youtu.be/QrG2UH0uGhI
17,Recycle Paint Buckets,Use paint buckets lid to make a bag and empty paint buckets to make a storage for umbrellas and stool,27-Aug-19,https://youtu.be/TWO6H76LYA0
18,Reuse Glass Jars,Use empty Nescafe comtainer to store food pantry,22-May-20,https://youtu.be/0XBmRA9ESgk
19,3 Things You Can Make From Pringles Cans,"Make Pringles Cans into can food holder, lid to put cold drinks and a maze toy",21-Oct-15,https://youtu.be/VKUATrt-T_A
20,Do Not Throw Away Old PVC Pipes,Use old PVC pipes to make handles for equipments,7-Jul-19,https://youtu.be/GZw96RbAqT8
